#dims, points, n_threads, time(s)
20, 1000000, 1, 3.2
20, 1000000, 2, 2.1
20, 1000000, 4, 1.5
20, 1000000, 5, 1.5
20, 1000000, 8, 1.48

3, 5000000, 1, 5.3
3, 5000000, 2, 3.2
3, 5000000, 4, 2.2
3, 5000000, 5, 2.2
3, 5000000, 8, 2.2

4, 10000000, 1, 14.3
4, 10000000, 2, 8.819999999999999
4, 10000000, 4, 7.840000000000001
4, 10000000, 5, 9.040000000000001
4, 10000000, 8, 8.7

3, 20000000, 1, 30.340000000000003
3, 20000000, 2, 15.74
3, 20000000, 4, 10.739999999999998
3, 20000000, 5, 12.64
3, 20000000, 8, 12.66

4, 20000000, 1, 32.980000000000004
4, 20000000, 2, 19.560000000000002
4, 20000000, 4, 13.040000000000001
4, 20000000, 5, 13.139999999999997
4, 20000000, 8, 13.16
